Name,Background,Income,WorkExp,Test1,Test2
Abigail,Business,HIGH,3,84.3,89
Adeline,Business,LOW,0,80.3,83
Adrian,Engineering,LOW,11,65.3,65
Alex,Science,HIGH,7,82.3,85
Alice,Science,LOW,12,58.7,52
Amelia,Business,MID,0,78,83
Amy,Business,MID,3,90,92
Andrew,Business,LOW,1,69.7,68
Anna,Engineering,MID,9,68.7,67
Aria,Engineering,LOW,0,78,80
Audrey,Engineering,LOW,7,72.7,72
Ava,Science,HIGH,4,83.3,85
Bella,Humanities,LOW,5,72.7,72
Benjamin,Science,LOW,6,85.3,87
Caleb,Humanities,LOW,10,62,65
Caroline,Engineering,MID,8,68.7,68
Catherine,Business,LOW,7,85,84
Charles,Engineering,MID,8,68.7,68
Charlotte,Humanities,MID,5,77,84
Chloe,Science,HIGH,4,78.7,81
Chris,Business,MID,2,68.3,69
Christian,Science,MID,7,63,60
Colton,Business,LOW,7,63.3,63
Cora,Engineering,LOW,10,67.3,66
Daniel,Science,MID,4,79.7,82
David,Science,MID,4,73,71
Dennis,Business,MID,3,71.3,71
Elijah,Business,HIGH,6,86,83
Emma,Science,HIGH,1,84.7,85
Ethan,Science,MID,3,83.7,85
Evelyn,Business,LOW,2,81,83
Ezra,Engineering,MID,8,68.7,68
Hailey,Science,HIGH,11,62.7,62
Henry,Humanities,HIGH,4,85.3,95
Isaac,Humanities,LOW,0,71.3,71
Isabella,Humanities,LOW,4,82.3,84
Ivy,Business,MID,6,51,50
Jack,Science,LOW,5,79,81
Jacob,Humanities,HIGH,4,80.3,80
James,Business,HIGH,6,85.3,84
Jane,Humanities,HIGH,6,89.7,98
Joanna,Business,HIGH,0,89,90
John,Business,MID,7,72.3,72
Jonathan,Engineering,LOW,5,62,61
Joseph,Engineering,HIGH,6,75.3,81
Joshua,Engineering,MID,8,68.7,68
Julian,Engineering,MID,7,67.3,67
Lilian,Business,MID,7,75.3,76
Lily,Humanities,MID,5,73.3,76
Lina,Science,LOW,6,84.3,88
Lisa,Business,HIGH,6,85.3,90
Logan,Science,LOW,4,77.7,77
Lorraine,Business,LOW,1,86,89
Lucas,Science,MID,7,84.7,86
Lucy,Engineering,LOW,6,75,73
Luke,Engineering,LOW,3,71.7,71
Luna,Engineering,MID,0,75.7,76
Maggie,Humanities,MID,11,62.7,64
Mason,Science,MID,6,84,86
Matthew,Engineering,LOW,5,76.7,78
Maya,Humanities,LOW,9,67.7,67
Michael,Business,MID,1,83.3,90
Mila,Engineering,LOW,5,76.3,75
Molly,Humanities,HIGH,3,96,97
Noah,Humanities,LOW,1,94.7,97
Nova,Humanities,MID,10,71,71
Oliver,Humanities,HIGH,3,90,96
Olivia,Science,MID,4,79,85
Owen,Engineering,LOW,5,77.3,78
Paula,Business,HIGH,6,91.7,94
Penelope,Business,HIGH,4,79.7,82
Peter,Humanities,HIGH,3,98.7,100
Rebecca,Humanities,LOW,3,91.7,96
Robert,Business,MID,12,57.3,52
Ryan,Engineering,LOW,8,66,66
Sally,Humanities,HIGH,2,96.7,99
Samuel,Engineering,HIGH,5,79.7,85
Scarlett,Engineering,MID,2,75.7,79
Sebestian,Science,HIGH,6,78.3,81
Sophia,Science,LOW,4,82.7,85
Stella,Science,MID,6,74,74
Thomas,Engineering,MID,8,70.3,68
Tina,Business,LOW,5,89.3,91
Tom,Science,LOW,8,69.3,68
Valentina,Engineering,MID,10,67.3,66
Victoria,Science,LOW,0,78,80
Violet,Humanities,MID,5,73.7,70
William,Business,HIGH,0,87.3,91
Wyatt,Science,HIGH,7,72,71
Zoe,Business,MID,6,73.3,76
