Name,Background,Gender,Income,WorkExp,Test1,Test2,Average
Abigail,Business,F,HIGH,3,84.3,89,86.7
Adeline,Business,F,LOW,0,80.3,83,81.7
Adrian,Engineering,M,LOW,11,65.3,65,65.2
Alex,Science,M,HIGH,7,82.3,85,83.7
Alice,Science,F,LOW,12,58.7,52,55.4
Amelia,Business,F,MID,0,78,83,80.5
Amy,Business,F,MID,3,90,92,91
Andrew,Business,M,LOW,1,69.7,68,68.9
Anna,Engineering,F,MID,9,68.7,67,67.9
Aria,Engineering,F,LOW,0,78,80,79
Audrey,Engineering,F,LOW,7,72.7,72,72.4
Ava,Science,F,HIGH,4,83.3,85,84.2
Bella,Humanities,F,LOW,5,72.7,72,72.4
Benjamin,Science,M,LOW,6,85.3,87,86.2
Caleb,Humanities,M,LOW,10,62,65,63.5
Caroline,Engineering,F,MID,8,68.7,68,68.4
Catherine,Business,F,LOW,7,85,84,84.5
Charles,Engineering,M,MID,8,68.7,68,68.4
Charlotte,Humanities,F,MID,5,77,84,80.5
Chloe,Science,F,HIGH,4,78.7,81,79.9
Chris,Business,M,MID,2,68.3,69,68.7
Christian,Science,M,MID,7,63,60,61.5
Colton,Business,M,LOW,7,63.3,63,63.2
Cora,Engineering,F,LOW,10,67.3,66,66.7
Daniel,Science,M,MID,4,79.7,82,80.9
David,Science,M,MID,4,73,71,72
Dennis,Business,M,MID,3,71.3,71,71.2
Elijah,Business,M,HIGH,6,86,83,84.5
Emma,Science,F,HIGH,1,84.7,85,84.9
Ethan,Science,M,MID,3,83.7,85,84.4
Evelyn,Business,F,LOW,2,81,83,82
Ezra,Engineering,M,MID,8,68.7,68,68.4
Hailey,Science,F,HIGH,11,62.7,62,62.4
Henry,Humanities,M,HIGH,4,85.3,95,90.2
Isaac,Humanities,M,LOW,0,71.3,71,71.2
Isabella,Humanities,F,LOW,4,82.3,84,83.2
Ivy,Business,F,MID,6,51,50,50.5
Jack,Science,M,LOW,5,79,81,80
Jacob,Humanities,M,HIGH,4,80.3,80,80.2
James,Business,M,HIGH,6,85.3,84,84.7
Jane,Humanities,F,HIGH,6,89.7,98,93.9
Joanna,Business,F,HIGH,0,89,90,89.5
John,Business,M,MID,7,72.3,72,72.2
Jonathan,Engineering,M,LOW,5,62,61,61.5
Joseph,Engineering,M,HIGH,6,75.3,81,78.2
Joshua,Engineering,M,MID,8,68.7,68,68.4
Julian,Engineering,M,MID,7,67.3,67,67.2
Lilian,Business,F,MID,7,75.3,76,75.7
Lily,Humanities,F,MID,5,73.3,76,74.7
Lina,Science,F,LOW,6,84.3,88,86.2
Lisa,Business,F,HIGH,6,85.3,90,87.7
Logan,Science,F,LOW,4,77.7,77,77.4
Lorraine,Business,F,LOW,1,86,89,87.5
Lucas,Science,M,MID,7,84.7,86,85.4
Lucy,Engineering,F,LOW,6,75,73,74
Luke,Engineering,M,LOW,3,71.7,71,71.4
Luna,Engineering,F,MID,0,75.7,76,75.9
Maggie,Humanities,F,MID,11,62.7,64,63.4
Mason,Science,M,MID,6,84,86,85
Matthew,Engineering,M,LOW,5,76.7,78,77.4
Maya,Humanities,F,LOW,9,67.7,67,67.4
Michael,Business,M,MID,1,83.3,90,86.7
Mila,Engineering,F,LOW,5,76.3,75,75.7
Molly,Humanities,M,HIGH,3,96,97,96.5
Noah,Humanities,M,LOW,1,94.7,97,95.9
Nova,Humanities,M,MID,10,71,71,71
Oliver,Humanities,M,HIGH,3,90,96,93
Olivia,Science,F,MID,4,79,85,82
Owen,Engineering,M,LOW,5,77.3,78,77.7
Paula,Business,F,HIGH,6,91.7,94,92.9
Penelope,Business,F,HIGH,4,79.7,82,80.9
Peter,Humanities,M,HIGH,3,98.7,100,99.4
Rebecca,Humanities,F,LOW,3,91.7,96,93.9
Robert,Business,M,MID,12,57.3,52,54.7
Ryan,Engineering,M,LOW,8,66,66,66
Sally,Humanities,F,HIGH,2,96.7,99,97.9
Samuel,Engineering,M,HIGH,5,79.7,85,82.4
Scarlett,Engineering,F,MID,2,75.7,79,77.4
Sebestian,Science,M,HIGH,6,78.3,81,79.7
Sophia,Science,F,LOW,4,82.7,85,83.9
Stella,Science,F,MID,6,74,74,74
Thomas,Engineering,M,MID,8,70.3,68,69.2
Tina,Business,F,LOW,5,89.3,91,90.2
Tom,Science,M,LOW,8,69.3,68,68.7
Valentina,Engineering,F,MID,10,67.3,66,66.7
Victoria,Science,F,LOW,0,78,80,79
Violet,Humanities,F,MID,5,73.7,70,71.9
William,Business,M,HIGH,0,87.3,91,89.2
Wyatt,Science,M,HIGH,7,72,71,71.5
Zoe,Business,F,MID,6,73.3,76,74.7
